Participant, Trial.Number, Trial.Accuracy, Trial.Type, Frames to Target, Frames to Distractor,
M30PM,Trial 1,0.793478261,baseline_1,73,19,
M30PM,Trial 2,0.8,baseline_2,96,24,
M30PM,Trial 14,1,quiet_stroller,38,0,
M30PM,Trial 16,0,noise_hand,0,37,
M30PM,Trial 20,0.448979592,quiet_hand,22,27,
M30PM,Trial 19,1,quiet_car,120,0,
M30PM,Trial 18,0.525,noise_foot,63,57,
M30PM,Trial 17,0.9,noise_stroller,108,12,
M30PM,Trial 13,0.873786408,noise_car,90,13,
M30PM,Trial 15,0.234375,quiet_foot,15,49,
M30PM,Trial 11,0.366666667,baseline_3,44,76,
M30PM,Trial 12,0.805194805,baseline_4,62,15,
M30PM,Trial 3,0.666666667,quiet_eye,44,22,
M30PM,Trial 4,0.341666667,noise_eye,41,79,
M30PM,Trial 5,0.625,noise_nose,75,45,
M30PM,Trial 6,0.557894737,quiet_nose,53,42,
M30PM,Trial 7,0.425,noise_milk,51,69,
M30PM,Trial 8,0.684931507,noise_dog,50,23,
M30PM,Trial 9,0.366666667,quiet_dog,44,76,
M30PM,Trial 10,1,quiet_milk,83,0,
,,,,,,
M31RK,Trial 1,0.281818182,baseline_1,31,79,
M31RK,Trial 2,0,baseline_2,0,26,
M31RK,Trial 13,NaN,quiet_stroller,0,0,DROPPED
M31RK,Trial 14,1,noise_hand,3,0,DROPPED
M31RK,Trial 15,1,quiet_hand,21,0,
M31RK,Trial 16,NaN,quiet_car,0,0,DROPPED
M31RK,Trial 17,0.277777778,noise_foot,15,39,
M31RK,Trial 18,NaN,noise_stroller,0,0,DROPPED
M31RK,Trial 19,0.873015873,noise_car,55,8,
M31RK,Trial 20,0.342465753,quiet_foot,25,48,
M31RK,Trial 11,1,baseline_3,105,0,
M31RK,Trial 12,1,baseline_4,37,0,
M31RK,Trial 9,0,quiet_eye,0,53,
M31RK,Trial 10,0,noise_eye,0,42,
M31RK,Trial 4,1,noise_nose,41,0,
M31RK,Trial 3,NaN,quiet_nose,0,0,DROPPED
M31RK,Trial 7,0.36,noise_milk,18,32,
M31RK,Trial 5,0.948275862,noise_dog,110,6,
M31RK,Trial 6,NaN,quiet_dog,0,0,DROPPED
M31RK,Trial 8,0,quiet_milk,0,120,
,,,,,,
