Participant, Trial.Number, Trial.Accuracy, Trial.Type, Frames to Target, Frames to Distractor,
M43EW,Trial 16,1,noise_hand,25,0,
M43EW,Trial 20,0.838709677,quiet_hand,26,5,
M43EW,Trial 19,0,quiet_car,0,27,
M43EW,Trial 18,1,noise_foot,29,0,
M43EW,Trial 17,0,noise_stroller,0,25,
M43EW,Trial 13,0,noise_car,0,26,
M43EW,Trial 15,1,quiet_foot,30,0,
M43EW,Trial 11,1,baseline_3,28,0,
M43EW,Trial 12,1,baseline_4,28,0,
M43EW,Trial 3,0,quiet_eye,0,27,
M43EW,Trial 4,1,noise_eye,22,0,
M43EW,Trial 5,1,noise_nose,21,0,
M43EW,Trial 6,1,quiet_nose,23,0,
M43EW,Trial 7,0,noise_milk,0,21,
M43EW,Trial 8,1,noise_dog,26,0,
M43EW,Trial 9,1,quiet_dog,26,0,
M43EW,Trial 10,0,quiet_milk,0,28,
,,,,,,
M44GW,Trial 1,0.472222222,baseline_1,17,19,
M44GW,Trial 2,1,baseline_2,21,0,
M44GW,Trial 4,0,quiet_stroller,0,25,
M44GW,Trial 6,1,noise_hand,19,0,
M44GW,Trial 10,0.909090909,quiet_hand,20,2,
M44GW,Trial 9,0,quiet_car,0,27,
M44GW,Trial 8,1,noise_foot,26,0,
M44GW,Trial 7,0,noise_stroller,0,25,
M44GW,Trial 3,0,noise_car,0,22,
M44GW,Trial 5,1,quiet_foot,36,0,
M44GW,Trial 11,1,baseline_3,29,0,
M44GW,Trial 12,0,baseline_4,0,23,
M44GW,Trial 19,1,quiet_eye,36,0,
M44GW,Trial 20,0.862068966,noise_eye,25,4,
M44GW,Trial 14,0,noise_nose,0,36,
