Participant, Trial.Number, Trial.Accuracy, Trial.Type, Frames to Target, Frames to Distractor,
B31ZR,Trial 19,0,quiet_leche,0,24,
B31ZR,Trial 20,1,noise_leche,23,0,
,,,,,,
B32NF,Trial 1,1,baseline_1,21,0,
B32NF,Trial 2,NaN,baseline_2,0,0,DROPPED
B32NF,Trial 3,1,quiet_stroller,21,0,
B32NF,Trial 4,0,noise_hand,0,6,DROPPED
B32NF,Trial 5,0.222222222,quiet_hand,6,21,
B32NF,Trial 6,0.615384615,quiet_car,16,10,
B32NF,Trial 7,0,noise_foot,0,26,
B32NF,Trial 8,1,noise_stroller,26,0,
B32NF,Trial 9,1,noise_car,36,0,
B32NF,Trial 10,0,quiet_foot,0,22,
B32NF,Trial 11,1,baseline_3,5,0,DROPPED
B32NF,Trial 12,1,baseline_4,36,0,
B32NF,Trial 13,0,quiet_ojo,0,24,
B32NF,Trial 14,1,noise_perro,20,0,
B32NF,Trial 15,0.6875,noise_nariz,22,10,
B32NF,Trial 16,1,quiet_perro,36,0,
B32NF,Trial 17,0,quiet_nariz,0,35,
B32NF,Trial 18,0,noise_ojo,0,10,DROPPED
B32NF,Trial 19,0.5,quiet_leche,16,16,
B32NF,Trial 20,1,noise_leche,7,0,DROPPED
,,,,,,
B35VC,Trial 1,0.952380952,baseline_1,20,1,
B35VC,Trial 2,0.28,baseline_2,7,18,
B35VC,Trial 14,1,quiet_stroller,26,0,
B35VC,Trial 16,0,noise_hand,0,26,
B35VC,Trial 20,0,quiet_hand,0,29,
B35VC,Trial 19,1,quiet_car,26,0,
B35VC,Trial 18,0,noise_foot,0,35,
B35VC,Trial 17,1,noise_stroller,27,0,
B35VC,Trial 13,1,noise_car,27,0,
B35VC,Trial 15,0,quiet_foot,0,27,
B35VC,Trial 11,0,baseline_3,0,26,
B35VC,Trial 12,0.260869565,baseline_4,6,17,
B35VC,Trial 3,1,quiet_ojo,25,0,
B35VC,Trial 4,0,noise_perro,0,26,
B35VC,Trial 5,1,noise_nariz,24,0,
B35VC,Trial 6,0.090909091,quiet_perro,2,20,
B35VC,Trial 7,1,quiet_nariz,24,0,
B35VC,Trial 8,1,noise_ojo,26,0,
B35VC,Trial 9,0,quiet_leche,0,24,
B35VC,Trial 10,0,noise_leche,0,20,
,,,,,,
B41RRG,Trial 1,1,baseline_1,26,0,
B41RRG,Trial 2,0.909090909,baseline_2,20,2,
B41RRG,Trial 3,1,quiet_stroller,26,0,
B41RRG,Trial 4,0,noise_hand,0,27,
B41RRG,Trial 5,0,quiet_hand,0,24,
B41RRG,Trial 6,0.55,quiet_car,11,9,
B41RRG,Trial 7,1,noise_foot,24,0,
B41RRG,Trial 8,1,noise_stroller,27,0,
B41RRG,Trial 9,0.136363636,noise_car,3,19,
B41RRG,Trial 10,1,quiet_foot,27,0,
B41RRG,Trial 11,1,baseline_3,28,0,
B41RRG,Trial 12,0.55,baseline_4,11,9,
B41RRG,Trial 13,1,quiet_ojo,24,0,
B41RRG,Trial 14,1,noise_perro,27,0,
B41RRG,Trial 15,1,noise_nariz,27,0,
B41RRG,Trial 16,0.8,quiet_perro,20,5,
B41RRG,Trial 17,1,quiet_nariz,23,0,
B41RRG,Trial 18,0,noise_ojo,0,26,
B41RRG,Trial 19,0,quiet_leche,0,28,
B41RRG,Trial 20,0.217391304,noise_leche,5,18,
